qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q412902,hormone,ホルモン,Q178593,ATP binding cassette subfamily B member 1,P糖タンパク質,mammalian protein found in Homo sapiens,,D020168,,,,C0242643
Q95677119,hormone,ホルモン,Q178593,Ferulic acid decarboxylase,,decarboxylase enzymes,,,,,,
Q130748721,hormone,ホルモン,Q178593,Imine reductase,,industrially relevant enzyme,,,,,,
Q84937963,hormone,ホルモン,Q178593,tilactase,,"Enzyme preparations, digestives",,,,,,C0083183
Q69563740,hormone,ホルモン,Q178593,cellulase,,"endocellulase with specificity for the hydrolysis of 1,4-beta-glucosidic linkages in cellulose, lichenin and cereal beta-glucans",,D002480,,,,
Q134429163,hormone,ホルモン,Q178593,Salicylate 1-O-methyltransferase,,enzyme in flowering plants,,,,,,
Q134437680,hormone,ホルモン,Q178593,Acetyl-CoA carboxytransferase,,type of transferase enzyme,,,,,,
Q134445699,hormone,ホルモン,Q178593,Methyl acetate hydrolase,,type of hydrolase enzyme,,,,,,
Q413934,hormone,ホルモン,Q178593,acrosin,アクロシン,mammalian protein found in Homo sapiens,,,,,,
Q131320105,hormone,ホルモン,Q178593,3-Hydroxyacyl-CoA dehydratase,,family of enzymes,,,,,,
Q420428,hormone,ホルモン,Q178593,transducin,トランスデューシン,protein,,D015293,,,,
Q420470,hormone,ホルモン,Q178593,cystic fibrosis transmembrane conductance regulator,イオンチャネル,mammalian protein found in Homo sapiens,,,,,,
Q27999413,hormone,ホルモン,Q178593,Infected cell protein 34.5,,Viral protein,,,,,,
Q28016981,hormone,ホルモン,Q178593,Der p 1,,protein from house mite,,,,,,
Q70298398,hormone,ホルモン,Q178593,chitin synthase,,,,,,,,
Q420267,hormone,ホルモン,Q178593,"MYC proto-oncogene, bHLH transcription factor",Myc,mammalian protein found in Homo sapiens,ホモサピエンスに見られる哺乳類タンパク質,C489427,,,,C1454487
Q63023435,hormone,ホルモン,Q178593,farnesyl-pyrophosphate synthetase,,,,,,,,
Q105973256,hormone,ホルモン,Q178593,Juvenile hormone acid O-methyltransferase,,,,,,,,
Q107474967,hormone,ホルモン,Q178593,geranylpyrophosphate synthetase,,,,,,,,
Q302495,hormone,ホルモン,Q178593,Natriuretic peptide A,心房性ナトリウム利尿ペプチド,mammalian protein found in Homo sapiens,,D009320,,,,
Q110394114,hormone,ホルモン,Q178593,pentosanase,,,,,,,,
Q135225472,hormone,ホルモン,Q178593,CpG methyltransferase,,DNA methyltransferase enzyme,,,,,,
Q110469205,hormone,ホルモン,Q178593,EC 4.1.1.102,,,,,,,,
Q105989959,hormone,ホルモン,Q178593,17α hydroxylase,,enzyme that converts pregnenolone to 17-hydroxypregnenolone and progesterone to 17-hydroxyprogesterone,,,,,,
Q105990055,hormone,ホルモン,Q178593,11β hydroxylase,,enzyme that converts 11-deoxycorticosterone to corticosterone,,,,,,
Q105990159,hormone,ホルモン,Q178593,3β hydroxysteroid dehydrogenase,,enzyme that converts 17-hydroxypregnenolone to 17-hydroxyprogesterone,,,,,,
Q85716360,hormone,ホルモン,Q178593,kallidinogenase,,"Enzymes, peripheral vasodilators",,,,,,
Q117196260,hormone,ホルモン,Q178593,Spirotetronate cyclase AbyU,,,,,,,,
Q420291,hormone,ホルモン,Q178593,ovalbumin,オボアルブミン,protein,,D010047,,,,C0029923
Q420604,hormone,ホルモン,Q178593,phenylalanine hydroxylase,フェニルアラニンヒドロキシラーゼ,mammalian protein found in Homo sapiens,,D010651,,,,C0031456
Q422288,hormone,ホルモン,Q178593,Natriuretic peptide B,脳性ナトリウム利尿ペプチド,mammalian protein found in Homo sapiens,,,,,,
Q227241,hormone,ホルモン,Q178593,Forkhead box P2,FOXP2,transcription factor gene of the forkhead box family,,,,,,
Q223739,hormone,ホルモン,Q178593,leptin,レプチン,mammalian protein found in Homo sapiens,,,,,,
Q335669,hormone,ホルモン,Q178593,"EGF like, fibronectin type III and laminin G domains",ピカチュリン,mammalian protein found in Homo sapiens,,,,,,
Q422579,hormone,ホルモン,Q178593,insulin receptor,インスリン受容体,mammalian protein found in Homo sapiens,,D011972,,,,
Q308856,hormone,ホルモン,Q178593,Dopamine receptor D4,,mammalian protein found in Homo sapiens,,,,,,C0114835
Q416259,hormone,ホルモン,Q178593,cyclin dependent kinase inhibitor 2A,P16,mammalian protein found in Homo sapiens,,D019941,,,,C0249880
Q411994,hormone,ホルモン,Q178593,secreted phosphoprotein 1,オステオポンチン,mammalian protein found in Homo sapiens,,C506895,,,,C1505427
Q412850,hormone,ホルモン,Q178593,coagulation factor VII,第VII因子,mammalian protein found in Homo sapiens,,,,,,C0015502
Q411541,hormone,ホルモン,Q178593,Phenylethanolamine N-methyltransferase,フェニルエタノールアミン-N-メチルトランスフェラーゼ,mammalian protein found in Homo sapiens,,D010625,,,,C0031397
Q356093,hormone,ホルモン,Q178593,Adenosine deaminase,アデノシンデアミナーゼ,mammalian protein found in Homo sapiens,,,,,,
Q414401,hormone,ホルモン,Q178593,Purine nucleoside phosphorylase,,mammalian protein found in Homo sapiens,,,,,,
Q416095,hormone,ホルモン,Q178593,myogenic differentiation 1,,mammalian protein found in Homo sapiens,,D017570,,,,C0165230
Q416336,hormone,ホルモン,Q178593,Serpin family C member 1,アンチトロンビン,mammalian protein found in Homo sapiens,,,,,,
Q421651,hormone,ホルモン,Q178593,BRCA2 DNA repair associated,BRCA2,mammalian protein found in Homo sapiens,,D024682,,,,C0294028
Q353384,hormone,ホルモン,Q178593,adducin,,"cellular protein, component of the cytoskeleton",,C052997,,,,
