qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q161667,enzyme,酵素,Q59199015,oct-1-en-3-ol,1-オクテン-3-オール,chemical compound,,,,,,
Q424294,enzyme,酵素,Q59199015,ipratropium bromide,イプラトロピウム,chemical compound,,,,,,
Q416602,enzyme,酵素,Q59199015,picrotoxin,ピクロトキシン,chemical compound,,D010852,,,,C0031890
Q375145,enzyme,酵素,Q59199015,2-amino-2-deoxy-D-galactopyranose,ガラクトサミン,chemical compound,ヘキソサミンの一つ,,,,,
Q58375,enzyme,酵素,Q59199015,thioridazine,チオリダジン,chemical compound,,D013881,,,,C0039943
Q71982,enzyme,酵素,Q59199015,N-formylkynurenine,N'-ホルミルキヌレニン,chemical compound,,,,,,
Q418130,enzyme,酵素,Q59199015,nebivolol,ネビブロール,chemical compound,,D000068577,,,,
Q161475,enzyme,酵素,Q59199015,"1,2-dichloroethene","1,2-ジクロロエチレン",group of stereoisomers,,,,,,
Q416800,enzyme,酵素,Q59199015,(±)-carvone,カルボン,chemical compound,,C006923,,,,
Q57054,enzyme,酵素,Q59199015,i-urobilinogen,ウロビリノーゲン,chemical compound,,D014558,,,,C0042052
Q1943387,enzyme,酵素,Q59199015,chlorophyll b,クロロフィルb,chemical compound,,,,,,
Q168686,enzyme,酵素,Q59199015,polyglycerol polyricinoleate,,chemical compound,,,,,,C3555528
Q415659,enzyme,酵素,Q59199015,"2,3-dimercapto-1-propanesulfonic acid","2,3-ジメルカプト-1-プロパンスルホン酸",chemical compound,,,,,,
Q380055,enzyme,酵素,Q59199015,squalane,スクアラン,group of stereoisomers,,,,,,C0075083
Q83763,enzyme,酵素,Q59199015,3-hexanol,3-ヘキサノール,chemical compound,,,,,,
Q161580,enzyme,酵素,Q59199015,1-aminopropan-2-ol,1-アミノ-2-プロパノール,pair of enantiomers,,,,,,
Q415798,enzyme,酵素,Q59199015,nisin,ナイシン,polycyclic antibacterial peptide,,D009561,,,,C0028115
Q582556,enzyme,酵素,Q59199015,lafutidine,ラフチジン,chemical compound,,C076948,,,,
Q407431,enzyme,酵素,Q59199015,(RS)-warfarin,ワルファリン,group of stereoisomers,,,,,,
Q168065,enzyme,酵素,Q59199015,propargite,プロパルギット,chemical compound,,,,,,
Q2014243,enzyme,酵素,Q59199015,profoxydim,,group of stereoisomers,,,,,,
Q527070,enzyme,酵素,Q59199015,lorvotuzumab mertansine,ロルボツズマブ メルタンシン,chemical compound,,C579429,,,,
Q1932398,enzyme,酵素,Q59199015,"1,3-butanediamine",,pair of enantiomers,,,,,,
Q416760,enzyme,酵素,Q59199015,mepivacaine,メピバカイン,chemical compound,,D008619,,,,C0006987
Q2041498,enzyme,酵素,Q59199015,DL-piperitone,ピペリトン,chemical compound,,,,,,
Q415688,enzyme,酵素,Q59199015,"3,4,5-trimethoxyamphetamine",トリメトキシアンフェタミン,chemical compound,,,,,,
Q416699,enzyme,酵素,Q59199015,anemonin,,group of isomeric compounds,,,,,,
Q417941,enzyme,酵素,Q59199015,fenchol,,group of isomeric chemical compounds,,,,,,
Q143289,enzyme,酵素,Q59199015,Tabun,タブン,nerve agent,有毒性の神経ガスのひとつ,C009374,,,,C0075762
Q77003,enzyme,酵素,Q59199015,2-hexanol,2-ヘキサノール,chemical compound,,,,,,
Q424260,enzyme,酵素,Q59199015,(±)-tianeptine,チアネプチン,group of stereoisomers,,C050504,,,,C0076652
Q417134,enzyme,酵素,Q59199015,chlordane,クロルデン,chemical compound,有機塩素系殺虫剤のひとつ,D002706,,,,C0008184
Q135068,enzyme,酵素,Q59199015,(+/-)-tetrahydroharmine,テトラヒドロヒドロハルミン,group of stereoisomers,,,,,,
Q415925,enzyme,酵素,Q59199015,DL-selenomethionine,セレノメチオニン,group of stereoisomers,,D012645,,,,C0917700
Q19414,enzyme,酵素,Q59199015,(±)-3-carene,カレン,pair of enantiomers,,,,,,
Q1948506,enzyme,酵素,Q59199015,4-methoxy-N-methylamphetamine,P-メトキシ-N-メチルアンフェタミン,group of stereoisomers,,,,,,
Q1965122,enzyme,酵素,Q59199015,narbomycin,,group of stereoisomers,,,,,,
Q139001,enzyme,酵素,Q59199015,"(5S)-24,25-dihydroxycholecalciferol","24,25-ジヒドロキシコレカルシフェロール",chemical compound,,D004100,,,,C0012328
Q415979,enzyme,酵素,Q59199015,propylene carbonate,炭酸プロピレン,chemical compound,,,,,,C0072222
Q418139,enzyme,酵素,Q59199015,esmolol,,group of stereoisomers,立体異性群,C036604,,,,C0116569
Q416930,enzyme,酵素,Q59199015,ethyl D-glucuronide,,group of stereoismers,,,,,,
Q161495,enzyme,酵素,Q59199015,(RS)-propylene glycol,プロピレングリコール,pair of enantiomers,グリコールの一種,D019946,,,,C0072225
Q407635,enzyme,酵素,Q59199015,coenzyme A,補酵素A,"coenzyme, notable for its role in the synthesis and oxidation of fatty acids, and the oxidation of pyruvate in the citric acid cycle",クエン酸回路やβ酸化などの代謝反応に関わる補酵素のひとつ,D003065,,,,C0009226
Q2030844,enzyme,酵素,Q59199015,3-methylfentanyl,3-メチルフェンタニル,group of stereoisomers,,C030592,,,,
Q133878,enzyme,酵素,Q59199015,chlorophyll a,クロロフィルa,chemical compound,,D000077194,,,,
Q418300,enzyme,酵素,Q59199015,osladin,オスラジン,chemical compound,,,,,,
Q2514085,enzyme,酵素,Q59199015,verbenol,ベルベノール,family of isomeric compounds,,,,,,
Q662511,enzyme,酵素,Q59199015,(RS)-propafenone,プロパフェノン,group of stereoisomers,,D011405,,,,C0033429
Q2419445,enzyme,酵素,Q59199015,desvenlafaxine,デスベンラファキシン,pair of enantiomers,,,,,,C1880288
Q1104117,enzyme,酵素,Q59199015,cannabidivarin,カンナビディバリン,group of stereoisomers,,,,,,
Q408209,enzyme,酵素,Q59199015,beta-thujene,ツジェン,pair of enantiomers,,,,,,
Q2356505,enzyme,酵素,Q59199015,(RS)-diethylpropion,,group of stereoisomers,,D004053,,,,
Q1088175,enzyme,酵素,Q59199015,polymyxin B,ポリマイシンB,chemical compound,,D011112,,,,
Q2083144,enzyme,酵素,Q59199015,tiletamine,チレタミン,group of stereoisomers,立体異性群,D013992,,,,
Q2057079,enzyme,酵素,Q59199015,pristanic acid,プリスタン酸,group of stereoisomers,,,,,,
Q385858,enzyme,酵素,Q59199015,ajmaline,アジュマリン,chemical compound,,D000404,,,,C0001888
Q2080986,enzyme,酵素,Q59199015,squalene oxide,"2,3-オキシドスクアレン",chemical compound,,,,,,
Q425963,enzyme,酵素,Q59199015,oxprenolol,,pair of enantiomers,,D010096,,,,
Q418785,enzyme,酵素,Q59199015,(RS)-amisulpride,アミスルプリド,group of stereoisomers,,D000077582,,,,
Q2406759,enzyme,酵素,Q59199015,tetrasodium iminodisuccinate,,chemical compound,,,,,,
Q2360598,enzyme,酵素,Q59199015,butamirate,ブタミレート,group of stereoisomers,,,,,,
Q1753256,enzyme,酵素,Q59199015,corticotropin-like intermediate peptide,,peptide in Homo sapiens,,D053497,,,,
Q2271580,enzyme,酵素,Q59199015,DL-sepiapterin,セピアプテリン,pair of isomers,,,,,,
Q663358,enzyme,酵素,Q59199015,ammonium DL-lactate,乳酸アンモニウム,pair of enantiomers,,,,,,C0718495
Q386441,enzyme,酵素,Q59199015,(RS)-meclizine,メクリジン,chemical compound,,D008468,,,,C0025039
Q420882,enzyme,酵素,Q59199015,fonturacetam,,chemical compound,,,,,,
Q2453240,enzyme,酵素,Q59199015,triglycidyl isocyanurate,,chemical compound,,,,,,
Q179452,enzyme,酵素,Q59199015,DL-amphetamine,アンフェタミン,pair of enantiomers,中枢神経興奮作用を有する有機化合物,D000661,,,,C0002658
Q1531790,enzyme,酵素,Q59199015,globularine,,chemical compound,,,,,,
Q2452973,enzyme,酵素,Q59199015,(RS)-bromo-dragonfly,,group of stereoisomers,,,,,,
