qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24721108,cell type,細胞型,Q7644128,YLP motif,,InterPro Conserved Site,,,,,,
Q24721709,cell type,細胞型,Q7644128,Glycophorin-binding protein,,InterPro Repeat,,,,,,
Q24721823,cell type,細胞型,Q7644128,"Cysteine-rich, acidic integral membrane",,InterPro Repeat,,,,,,
Q24721913,cell type,細胞型,Q7644128,BRCA2 repeat,,InterPro Repeat,,,,,,
Q24721785,cell type,細胞型,Q7644128,"Glutamate 5-kinase, conserved site",,InterPro Conserved Site,,,,,,
Q24722001,cell type,細胞型,Q7644128,"Bax inhibitor 1, conserved site",,InterPro Conserved Site,,,,,,
Q24721532,cell type,細胞型,Q7644128,Mycobacterial pentapeptide repeat,,InterPro Repeat,,,,,,
Q24722019,cell type,細胞型,Q7644128,"Glycoside hydrolase, family 8, conserved site",,InterPro Conserved Site,,,,,,
Q24722039,cell type,細胞型,Q7644128,"Glycoside hydrolase, family 2, conserved site",,InterPro Conserved Site,,,,,,
Q24722237,cell type,細胞型,Q7644128,"BCCT transporter, conserved site",,InterPro Conserved Site,,,,,,
Q24722298,cell type,細胞型,Q7644128,"Apoptosis regulator, Bcl-2, BH1 motif, conserved site",,InterPro Conserved Site,,,,,,
Q24722095,cell type,細胞型,Q7644128,"Glutamine synthetase, glycine-rich site",,InterPro Conserved Site,,,,,,
Q24721652,cell type,細胞型,Q7644128,RHS repeat,,InterPro Repeat,,,,,,
Q24721773,cell type,細胞型,Q7644128,"Ribosomal protein S19e, conserved site",,InterPro Conserved Site,,,,,,
Q24722285,cell type,細胞型,Q7644128,GBS Bsp-like,,InterPro Repeat,,,,,,
Q24721918,cell type,細胞型,Q7644128,"Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site",,InterPro Conserved Site,,,,,,
Q24721876,cell type,細胞型,Q7644128,"Ribosomal protein L24/L26, conserved site",,InterPro Conserved Site,,,,,,
Q24721968,cell type,細胞型,Q7644128,Prokaryotic lipoprotein-attachment site,,InterPro Conserved Site,,,,,,
Q24721914,cell type,細胞型,Q7644128,"Solute-binding protein family 3, conserved site",,InterPro Conserved Site,,,,,,
Q24721940,cell type,細胞型,Q7644128,"RNA polymerase, beta subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24722445,cell type,細胞型,Q7644128,"HTH domain AraC-type, conserved site",,InterPro Conserved Site,,,,,,
Q24722066,cell type,細胞型,Q7644128,"Titin, Z repeat",,InterPro Repeat,,,,,,
Q24722724,cell type,細胞型,Q7644128,"Clathrin adaptor complex, small chain",,InterPro Conserved Site,,,,,,
Q24722009,cell type,細胞型,Q7644128,"Zinc finger, Btk motif",,InterPro Conserved Site,,,,,,
Q24722269,cell type,細胞型,Q7644128,NPR nonapeptide,,InterPro Repeat,,,,,,
Q24722097,cell type,細胞型,Q7644128,"TRP-interacting helix, InaF motif",,InterPro Conserved Site,,,,,,
Q24722669,cell type,細胞型,Q7644128,"FeS cluster insertion, C-terminal, conserved site",,InterPro Conserved Site,,,,,,
