qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q107429910,medical device,医療機器,Q12139612,An Index to the Early Printed Books in the British Museum: With Notes of Those in the Bodleian Library,,"bibliography published in London: K. Paul, Trench, Trübner & Co., 1898-1903; B. Quaritch, ltd., 1938",,,,,,
Q107429948,medical device,医療機器,Q12139612,"A Catalogue of Scientific and Technical Periodicals, (1665 to 1882): Together With Chronological Tables and a Library Checklist",,"bibliography published in Washington: Smithsonian Institution, 1885",,,,,,
Q107429950,medical device,医療機器,Q12139612,"An Essay Towards an Indian Bibliography: Being a Catalogue of Books Relating to the History, Antiquities, Languages, Customs, Religion, Wars, Literature, and Origin of the American Indians, in the Library of Thomas W. Field",,"bibliography published in New York: Scribner, Armstrong, and Co., 1873",,,,,,
Q107429956,medical device,医療機器,Q12139612,A View of the Early Parisian Greek Press: Including the Lives of the Stephani; Notices of Other Contemporary Greek Printers of Paris; and Various Particulars of the Literary and Ecclesiastical History of Their Times,,"bibliography published in Oxford: S. Collingwood, 1833",,,,,,
Q107429953,medical device,医療機器,Q12139612,Anonyms: a Dictionary of Revealed Authorship,,"bibliography published in Cambridge, Mass.: W. Cushing, 1889",,,,,,
Q107429786,medical device,医療機器,Q12139612,"Franklin Bibliography: a List of Books Written By, or Relating to Benjamin Franklin",,1889 bibliography by Paul Leicester Ford,,,,,,
Q107429919,medical device,医療機器,Q12139612,"Bibliotheca Lindesiana. Catalogue of the Library of the Right Hon. the Earl of Crawford ... Which Will Be Sold By Auction, By Messrs. Sotheby, Wilkinson & Hodge, Auctioneers",,"bibliography published in London: Dryden Press, J. Davey and Sons, [1887-89]",,,,,,
Q107429917,medical device,医療機器,Q12139612,"Bibliotheca Americana: a Catalogue of Books Relating to North and South America in the Library of John Carter Brown of Providence, R.i",,"bibliography published in Providence: Printed by H. O. Houghton and Co., Cambridge, 1865-71",,,,,,
Q107429922,medical device,医療機器,Q12139612,Bibliothecae Casanatensis Catalogus Librorum Typis Impressorum,,"bibliography published in Romae : Excudebant Joachim & Joannes Josephus Salvioni fratres, 1761-1788",,,,,,
Q107429918,medical device,医療機器,Q12139612,"Books Printed in Iceland, 1578-1844: [first]-fourth Supplement to the British Museum Catalogue",,"bibliography published in [Florence, etc.], 1886-1907",,,,,,
Q107429932,medical device,医療機器,Q12139612,"Bibliotheca Therapeutica, Or, Bibliography of Therapeutics",,"bibliography published in London: The New Sydenham Society, 1878-79",,,,,,
Q107429911,medical device,医療機器,Q12139612,"Catalogue of Prints and Drawings in the British Museum: Division I, Political and Personal Satires",,"bibliography published in London: Printed by order of the Trustees, 1870-1954",,,,,,
Q107429944,medical device,医療機器,Q12139612,"Bibliotheca Arcana, Seu Catalogus Librorum Penetralium: Being Brief Notices of Books That Have Been Secretly Printed, Prohibited By Law, Seized, Anathematised, Burnt or Bowdlerised",,"bibliography published in London: G. Redway, 1885",,,,,,
Q107429914,medical device,医療機器,Q12139612,Catalogus Librorum Hebraeorum in Bibliotheca Bodleiana,,"bibliography published in Berolini: typis A. Friedlaender, 1852-60",,,,,,
Q107429915,medical device,医療機器,Q12139612,"Catalogue of the American Library of the Late Mr. George Brinley: of Hartford, Conn",,"bibliography published in Hartford: Press of the Case, Lockwood & Brainard Co., 1878-93",,,,,,
Q107429951,medical device,医療機器,Q12139612,"Bibliotheca Lindesiana. Catalogue of a Collection of English Ballads of the Xviith and Xviiith Centuries, Printed For the Most Part in Black Letter",,"bibliography published in [Aberdeen]: Privately printed [Aberdeen University Press], 1890",,,,,,
Q107429916,medical device,医療機器,Q12139612,Catalogue of Arabic Books in the British Museum,,"bibliography published in London, 1894-1935",,,,,,
Q107429952,medical device,医療機器,Q12139612,"Bibliotheca Lindesiana. Catalogue of English Broadsides, 1505-1897",,"bibliography published in [Aberdeen]: Privately printed [Aberdeen University Press], 1898",,,,,,
Q107429808,medical device,医療機器,Q12139612,Historical and Descriptive Account of the Caricatures of James Gillray: Comprising a Political and Humorous History of the Latter Part of the Reign of George the Third,,1851 bibliography by Thomas Wright,,,,,,
Q107429920,medical device,医療機器,Q12139612,"Catalogue of Books, Maps, Plates On America and of a Remarkable Collection of Early Voyages",,"bibliography published in Amsterdam: F. Muller, 1872-75",,,,,,
Q107429798,medical device,医療機器,Q12139612,"Laws and Decrees of the State of Coahuila and Texas, in Spanish and English: to Which Is Added the Constitution of Said State: Also, the Colonization Law of the State of Tamaulipas, and Naturalization Law of the General Congress",,1839 bibliography by Coahuila and Texas (Mexico),,,,,,
Q107429942,medical device,医療機器,Q12139612,Catalogue of Japanese Printed Books and Manuscripts in the Library of the British Museum,,"bibliography published in London: By order of the Trustees, 1898",,,,,,
Q107429943,medical device,医療機器,Q12139612,Catalogue of the Hebrew Books in the Library of the British Museum,,"bibliography published in London: British Museum, 1867",,,,,,
Q107429946,medical device,医療機器,Q12139612,Catalogue of the Books Printed in Iceland From A.d. 1578 to 1880 in the Library of the British Museum,,"bibliography published in London: Printed by W. Clowes and sons, 1885",,,,,,
Q107429945,medical device,医療機器,Q12139612,"Catalogue of Hebrew Books in the British Museum, Acquired During the Years 1868-1892",,"bibliography published in London: British Museum, 1894",,,,,,
Q107429949,medical device,医療機器,Q12139612,"Catalogue of Chinese Printed Books, Manuscripts and Drawings in the Library of the British Museum",,"bibliography published in London: Longmans & Co., 1877",,,,,,
Q107429958,medical device,医療機器,Q12139612,"Catalogue of Books and Papers Relating to Electricity, Magnetism, the Electric Telegraph, &c.: Including the Ronalds Library",,"bibliography published in London and New York: E. & F. N. Spon, 1880",,,,,,
Q107429832,medical device,医療機器,Q12139612,"Legal Bibliography, or a Thesaurus of American, English, Irish, and Scotch Law Books",,1847 bibliography by J. G. Marvin,,,,,,
Q107429777,medical device,医療機器,Q12139612,"Supplement to a Descriptive Catalogue of Friends' Books, or Books Written By Members of the Society of Friends, Commonly Called Quakers, From Their First Rise to the Present Time, Interspersed With Critical Remarks and Occasional Biographical Notices",,1893 bibliography by Joseph Smith,,,,,,
Q107429773,medical device,医療機器,Q12139612,"The First Century of German Printing in America, 1728-1830: Preceded By a Notice of the Literary Work of F. D. Pastorius",,1893 bibliography by Oswald Seidensticker,,,,,,
Q107429806,medical device,医療機器,Q12139612,"Rowlandson the Caricaturist: a Selection From His Works, With Anecdotal Descriptions of His Famous Caricatures and a Sketch of His Life, Times, and Contemporaries",,1880 bibliography by Joseph Grego,,,,,,
Q107429783,medical device,医療機器,Q12139612,"The Bibliography of Robert Burns: With Biographical and Bibliographical Notes, and Sketches of Burns Clubs, Monuments and Statues",,1881 bibliography by James Gibson,,,,,,
Q107429801,medical device,医療機器,Q12139612,"Select Bibliography of Chemistry, 1492-1892",,1893 bibliography by Henry Carrington Bolton,,,,,,
Q107429802,medical device,医療機器,Q12139612,"The Prince Library: a Catalogue of the Collection of Books and Manuscripts Which Formerly Belonged to the Reverend Thomas Prince, and Was By Him Bequeathed to the Old South Church, and Is Now Deposited in the Public Library of the City of Boston",,1870 bibliography by Boston Public Library,,,,,,
Q107429807,medical device,医療機器,Q12139612,"The Works of James Gillray, the Caricaturist: With the History of His Life and Times",,1873 bibliography by Thomas Wright,,,,,,
Q107429834,medical device,医療機器,Q12139612,The Three Cruikshanks,,1897 bibliography by Frederick Marchmont,,,,,,
Q107429955,medical device,医療機器,Q12139612,Guide to Printed Books and Manuscripts Relating to English and Foreign Heraldry and Genealogy: Being a Classified Catalogue of Works of Those Branches of Literature,,"bibliography published in London: Mitchell & Hughes, 1892",,,,,,
Q107429954,medical device,医療機器,Q12139612,Initials and Pseudonyms: a Dictionary of Literary Disguises. First Series,,"bibliography published in New York: T. Y. Crowell & Co, 1885",,,,,,
Q107429908,medical device,医療機器,Q12139612,Oxford Books: a Bibliography of Printed Works Relating to the University and City of Oxford or Printed or Published There,,"bibliography published in Oxford: Clarendon Press, 1895-1931",,,,,,
Q107429923,medical device,医療機器,Q12139612,"Select Bibliography of Chemistry, 1492-1892",,"bibliography published in Washington: Smithsonian, 1893-1904",,,,,,
Q107429947,medical device,医療機器,Q12139612,"Supplementum Catalogi Librorum Hebraeorum in Bibliotheca Bodleiana. (extractum E ""centralblatt Für Bibliotheksw."" 1894.)",,"bibliography published in Leipzig, 1894",,,,,,
Q107429941,medical device,医療機器,Q12139612,"The Literature of Political Economy: a Classified Catalogue of Select Publications in the Different Departments of That Science, With Historical, Critical, and Biographical Notices",,"bibliography published in London: Longman, Brown, Green & Longmans, 1845",,,,,,
Q107429957,medical device,医療機器,Q12139612,The Early Printers of Spain and Portugal,,"bibliography published in London: Printed for the Bibliographical Society, at the Chiswick Press, 1897",,,,,,
Q123739461,medical device,医療機器,Q12139612,Collection Cottier catalogue,,"art sale by Durand-Ruel in Paris, 1892",,,,,,
Q123746669,medical device,医療機器,Q12139612,Catalogus van schilderijen van Oud-Hollandsche Meesters uit het bezit van de firma J. Goustikker,,"collectin catalog of Goudstikker firm in Amsterdam, dated (in pen) 1916",,,,,,
Q123964500,medical device,医療機器,Q12139612,The complete paintings of Giorgione,,catalogue raisonné by Pietro Zampetti,,,,,,
Q124130752,medical device,医療機器,Q12139612,"Africa Supernova, Collection Carla & Pieter Schulting",,art catalog,,,,,,
Q124321947,medical device,医療機器,Q12139612,Die illuminierten Handschriften und Einzelminiaturen des Mittelalters und der Renaissance in Frankfurter Besitz,,book published in 1929,,,,,,
Q124206707,medical device,医療機器,Q12139612,Catalogue of the collection: Herzogliches Museum zu Gotha,,1890 collection catalog of the Herzogliches Museum,,,,,,
Q124246494,medical device,医療機器,Q12139612,Le Marche disperse. Repertorio di opere d'arte dalle Marche al mondo,,2005 publication,,,,,,
Q124250735,medical device,医療機器,Q12139612,Catalogue of 93 paintings from the collection of Otto Pein in Berlin,,"art sale catalog in Cologne, 1888",,,,,,
Q124294177,medical device,医療機器,Q12139612,Katalog der Fürstlich Liechtensteinischen Bildergallerie im Gartenpaleis der Rossau zu Wien,,catalogue of the Liechtenstein collection in Vienna in 1885,,,,,,
Q124307064,medical device,医療機器,Q12139612,Beschreibendes Verzeichniss der Gemälde Suermondt Museum,,early collection catalog from 1883,,,,,,
Q124310070,medical device,医療機器,Q12139612,Catalogue gallery Kusheleva-Bezborodko,,"collection catalog of the Imperial Academy of Arts in St Petersburg, by A. Somov, of the gallery Kusheleva-Bezborodko, 1886",,,,,,
