qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q7601516,protein family,タンパク質ファミリー,Q417841,alpha-glucan phosphorylase,,InterPro Family,,D024941,,,,
Q410332,protein family,タンパク質ファミリー,Q417841,pannexin,パネキシン,protein family,,,,,,
Q411120,protein family,タンパク質ファミリー,Q417841,"DNA primase, subgroup",,InterPro family,,,,,,
Q3512011,protein family,タンパク質ファミリー,Q417841,transmembrane AMPAR regulatory protein,,protein family,,,,,,
Q3548096,protein family,タンパク質ファミリー,Q417841,protein ultraspiracle,,protein family,,,,,,
Q7390712,protein family,タンパク質ファミリー,Q417841,small conductance calcium-activated potassium channel,SKチャネル,InterPro Family,,D051640,,,,C1571638
Q7506698,protein family,タンパク質ファミリー,Q417841,"sialyltransferase, subgroup",,InterPro Family,,,,,,
Q3487083,protein family,タンパク質ファミリー,Q417841,actinin,アクチニン,protein factor that regulates the length of R-actin,,D000185,,,,
Q7226087,protein family,タンパク質ファミリー,Q417841,poly(A)-binding protein,ポリA結合タンパク質,protein family,,,,,,
Q410803,protein family,タンパク質ファミリー,Q417841,filamins,フィラミン,protein family,,D064448,,,,
Q7440052,protein family,タンパク質ファミリー,Q417841,sea anemone neurotoxin,,InterPro Family,,,,,,
Q7421012,protein family,タンパク質ファミリー,Q417841,saposin protein domain,,type of protein domain,,,,,,
Q3689200,protein family,タンパク質ファミリー,Q417841,contryphan,,protein family,,,,,,
Q416896,protein family,タンパク質ファミリー,Q417841,metallothionein,メタロチオネイン,InterPro Family,,D008668,,,,
Q416496,protein family,タンパク質ファミリー,Q417841,oestrogen receptor,エストロゲン受容体,InterPro Family,,D011960,,,,
Q7444439,protein family,タンパク質ファミリー,Q417841,"GPCR, family 2, secretin-like",セクレチン受容体ファミリー,InterPro Family,,,,,,
Q3476415,protein family,タンパク質ファミリー,Q417841,Phospholipid scramblase,リン脂質スクランブラーゼ,InterPro Family,,,,,,
Q3719024,protein family,タンパク質ファミリー,Q417841,edestin,,protein family,,,,,,
Q7310873,protein family,タンパク質ファミリー,Q417841,relaxin-3,,protein family,,,,,,
Q7321217,protein family,タンパク質ファミリー,Q417841,"G protein-coupled receptor, rhodopsin-like",ロドプシン様受容体,family of proteins,,,,,,
Q7234682,protein family,タンパク質ファミリー,Q417841,potassium-dependent sodium-calcium exchanger,,family of transport proteins,,,,,,
Q7449222,protein family,タンパク質ファミリー,Q417841,semenogelin,セメノゲリン,protein family,,,,,,
Q417754,protein family,タンパク質ファミリー,Q417841,EcoRI,EcoRI,restriction enzyme,制限酵素,D015246,,,,
Q24719808,protein family,タンパク質ファミリー,Q417841,"Tagatose 1,6-diphosphate aldolase",,InterPro Family,,,,,,
Q24719900,protein family,タンパク質ファミリー,Q417841,TCF3 fusion partner,,InterPro Family,,,,,,
Q24719790,protein family,タンパク質ファミリー,Q417841,Gns,,InterPro Family,,,,,,
Q24719788,protein family,タンパク質ファミリー,Q417841,Abnormal spindle-like microcephaly-associated protein,,InterPro Family,,,,,,
Q24719787,protein family,タンパク質ファミリー,Q417841,APC membrane recruitment protein,,InterPro Family,,,,,,
Q24719811,protein family,タンパク質ファミリー,Q417841,"ABC transporter, urea permease protein UrtB, archaeal",,InterPro Family,,,,,,
Q24719810,protein family,タンパク質ファミリー,Q417841,"acetylcholinesterase, fish/snake",,InterPro Family,,,,,,
Q24719785,protein family,タンパク質ファミリー,Q417841,Cell division cycle-associated protein 7,,InterPro Family,,,,,,
Q24719841,protein family,タンパク質ファミリー,Q417841,"Branched-chain amino acid transport, AzlD",,InterPro Family,,,,,,
Q24719789,protein family,タンパク質ファミリー,Q417841,CXC chemokine receptor 1/2,,InterPro Family,,,,,,
Q24719918,protein family,タンパク質ファミリー,Q417841,"Acid phosphatase, class A, bacterial",,InterPro Family,,,,,,
Q24719781,protein family,タンパク質ファミリー,Q417841,"DNA topoisomerase 4 subunit B, Firmicutes/Mollicutes",,InterPro Family,,,,,,
Q24719820,protein family,タンパク質ファミリー,Q417841,"Competence protein, ComC",,InterPro Family,,,,,,
Q24719911,protein family,タンパク質ファミリー,Q417841,Apoptosis regulator BAK,,InterPro Family,,,,,,
